sentence,IOB,tokens,aspect,position,sentiment,probs,confidence
I wanted this to work too .,"['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']","['I', 'wanted', 'this', 'to', 'work', 'too', '.']",['work'],[[4]],['Neutral'],"[[0.037583790719509125, 0.9555183053016663, 0.0068978010676801205]]",[0.9555]
I enjoyed reading the books and was eager to play this game well before it came out .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'enjoyed', 'reading', 'the', 'books', 'and', 'was', 'eager', 'to', 'play', 'this', 'game', 'well', 'before', 'it', 'came', 'out', '.']",['game'],[[11]],['Neutral'],"[[0.006844687275588512, 0.6822949647903442, 0.31086039543151855]]",[0.6823]
"Unfortunately , it is nothing but a start - up and crash - fest .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Unfortunately', ',', 'it', 'is', 'nothing', 'but', 'a', 'start', '-', 'up', 'and', 'crash', '-', 'fest', '.']",[],[],[],[],[]
Perhaps one day they will patch it and on that day I ' ll edit this review .,"['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['Perhaps', 'one', 'day', 'they', 'will', 'patch', 'it', 'and', 'on', 'that', 'day', 'I', ""'"", 'll', 'edit', 'this', 'review', '.']","['patch', 'review']","[[5], [16]]","['Neutral', 'Neutral']","[[0.44120001792907715, 0.5530228018760681, 0.005777211394160986], [0.11497140675783157, 0.8800934553146362, 0.004935146775096655]]","[0.553, 0.8801]"
"Until then , google Hogwart ' s Legacy game crashes before you pay for this .","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Until', 'then', ',', 'google', 'Hogwart', ""'"", 's', 'Legacy', 'game', 'crashes', 'before', 'you', 'pay', 'for', 'this', '.']",['google'],[[3]],['Neutral'],"[[0.10380952060222626, 0.8806002140045166, 0.015590272843837738]]",[0.8806]
"This is the only pop - culture focused game I ' ve looked forward to in years . . . now it will remain as such . . . I ' ll remain hopeful that one day , they will patch this , but before that , I ' m seeking a refund as I ' m posting this .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['This', 'is', 'the', 'only', 'pop', '-', 'culture', 'focused', 'game', 'I', ""'"", 've', 'looked', 'forward', 'to', 'in', 'years', '.', '.', '.', 'now', 'it', 'will', 'remain', 'as', 'such', '.', '.', '.', 'I', ""'"", 'll', 'remain', 'hopeful', 'that', 'one', 'day', ',', 'they', 'will', 'patch', 'this', ',', 'but', 'before', 'that', ',', 'I', ""'"", 'm', 'seeking', 'a', 'refund', 'as', 'I', ""'"", 'm', 'posting', 'this', '.']",['game'],[[8]],['Positive'],"[[0.014662334695458412, 0.2840656638145447, 0.7012719511985779]]",[0.7013]
I ' ll try again later after a few patches .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', ""'"", 'll', 'try', 'again', 'later', 'after', 'a', 'few', 'patches', '.']",[],[],[],[],[]
"top line computer , game stops playing after closing the welcome letter !","['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['top', 'line', 'computer', ',', 'game', 'stops', 'playing', 'after', 'closing', 'the', 'welcome', 'letter', '!']",['game'],[[4]],['Negative'],"[[0.9811044931411743, 0.004364520311355591, 0.014531048014760017]]",[0.9811]
I was so excited to play this when I bought this yesterday but all I got is wasted hour of trying to open the game as it keeps crashing on me on the Shader thingy .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'was', 'so', 'excited', 'to', 'play', 'this', 'when', 'I', 'bought', 'this', 'yesterday', 'but', 'all', 'I', 'got', 'is', 'wasted', 'hour', 'of', 'trying', 'to', 'open', 'the', 'game', 'as', 'it', 'keeps', 'crashing', 'on', 'me', 'on', 'the', 'Shader', 'thingy', '.']",[],[],[],[],[]
I was so disappointed cause I really wanna play .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'was', 'so', 'disappointed', 'cause', 'I', 'really', 'wanna', 'play', '.']",[],[],[],[],[]
Didn ' t even get past epilepsy warning,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP']","['Didn', ""'"", 't', 'even', 'get', 'past', 'epilepsy', 'warning']",['warning'],[[7]],['Negative'],"[[0.9957940578460693, 0.0025754645466804504, 0.001630431623198092]]",[0.9958]
In order to change the graphic settings it wants me to confirm with a weird symbol that doesn ' t exist on any keyboard .,"['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['In', 'order', 'to', 'change', 'the', 'graphic', 'settings', 'it', 'wants', 'me', 'to', 'confirm', 'with', 'a', 'weird', 'symbol', 'that', 'doesn', ""'"", 't', 'exist', 'on', 'any', 'keyboard', '.']","['graphic', 'keyboard']","[[5], [23]]","['Negative', 'Negative']","[[0.5207765102386475, 0.47712674736976624, 0.002096764510497451], [0.9823768138885498, 0.01627878099679947, 0.0013444392243400216]]","[0.5208, 0.9824]"
Can ' t use the mouse for the dialog box either .,"['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O']","['Can', ""'"", 't', 'use', 'the', 'mouse', 'for', 'the', 'dialog', 'box', 'either', '.']","['mouse', 'dialog box']","[[5], [8, 9]]","['Negative', 'Negative']","[[0.9090936183929443, 0.08942123502492905, 0.0014850894222036004], [0.96821129322052, 0.030720561742782593, 0.0010681005660444498]]","[0.9091, 0.9682]"
Every game I have is played at high settings on 4K .,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['Every', 'game', 'I', 'have', 'is', 'played', 'at', 'high', 'settings', 'on', '4K', '.']","['game', '4K']","[[1], [10]]","['Positive', 'Positive']","[[0.00810693483799696, 0.24640527367591858, 0.7454878091812134], [0.002538263099268079, 0.29570654034614563, 0.7017552256584167]]","[0.7455, 0.7018]"
But hogwarts set everything to the lowest and won ' t let me change anything .,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['But', 'hogwarts', 'set', 'everything', 'to', 'the', 'lowest', 'and', 'won', ""'"", 't', 'let', 'me', 'change', 'anything', '.']",['hogwarts'],[[1]],['Negative'],"[[0.9959639310836792, 0.001608828897587955, 0.0024271435104310513]]",[0.996]
Crashes continuoulsy and can ' t get passed loading screen,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP']","['Crashes', 'continuoulsy', 'and', 'can', ""'"", 't', 'get', 'passed', 'loading', 'screen']",['loading screen'],"[[8, 9]]",['Negative'],"[[0.9965817332267761, 0.0015990808606147766, 0.0018192414427176118]]",[0.9966]
"game wont load past warning screan , i ' ve tried everything , making sure computer is updated , varified files , restarted computer many a time , uninstalled and reinstalled .","['B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['game', 'wont', 'load', 'past', 'warning', 'screan', ',', 'i', ""'"", 've', 'tried', 'everything', ',', 'making', 'sure', 'computer', 'is', 'updated', ',', 'varified', 'files', ',', 'restarted', 'computer', 'many', 'a', 'time', ',', 'uninstalled', 'and', 'reinstalled', '.']","['game', 'files']","[[0], [20]]","['Negative', 'Negative']","[[0.9960636496543884, 0.002445605117827654, 0.001490789814852178], [0.8979326486587524, 0.10066868364810944, 0.0013986785197630525]]","[0.9961, 0.8979]"
Trying to reinstall it again right now ( yay more hours cry ) please help ideas welcomed and wanted,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Trying', 'to', 'reinstall', 'it', 'again', 'right', 'now', '(', 'yay', 'more', 'hours', 'cry', ')', 'please', 'help', 'ideas', 'welcomed', 'and', 'wanted']",['reinstall'],[[2]],['Negative'],"[[0.9577081799507141, 0.038611967116594315, 0.003679807297885418]]",[0.9577]
I refunded the game after 60 minutes as my system was struggling with framerate and stuttering in cutscenes .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O']","['I', 'refunded', 'the', 'game', 'after', '60', 'minutes', 'as', 'my', 'system', 'was', 'struggling', 'with', 'framerate', 'and', 'stuttering', 'in', 'cutscenes', '.']","['framerate', 'cutscenes']","[[13], [17]]","['Negative', 'Negative']","[[0.9966832995414734, 0.002160064410418272, 0.0011566121829673648], [0.9951996803283691, 0.0037567915860563517, 0.001043542753905058]]","[0.9967, 0.9952]"
"I ' m currently running a Ryzen 5600x , 16gb Vengeance , and 1080Ti , to see how it performs .","['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', ""'"", 'm', 'currently', 'running', 'a', 'Ryzen', '5600x', ',', '16gb', 'Vengeance', ',', 'and', '1080Ti', ',', 'to', 'see', 'how', 'it', 'performs', '.']","['Ryzen 5600x', '16gb Vengeance']","[[6, 7], [9, 10]]","['Neutral', 'Neutral']","[[0.002526409225538373, 0.9747223854064941, 0.022751132026314735], [0.002360282000154257, 0.9717149138450623, 0.0259248036891222]]","[0.9747, 0.9717]"
Lowest graphic settings and it was stuttering in many of the cutscenes .,"['O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['Lowest', 'graphic', 'settings', 'and', 'it', 'was', 'stuttering', 'in', 'many', 'of', 'the', 'cutscenes', '.']","['graphic settings', 'cutscenes']","[[1, 2], [11]]","['Negative', 'Negative']","[[0.9970145225524902, 0.0011688756057992578, 0.0018165070796385407], [0.9916414022445679, 0.0074965497478842735, 0.0008619691361673176]]","[0.997, 0.9916]"
"Wouldn ' t recommend if you ' re running anything below , say , a 2060 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['Wouldn', ""'"", 't', 'recommend', 'if', 'you', ""'"", 're', 'running', 'anything', 'below', ',', 'say', ',', 'a', '2060', '.']",['2060'],[[15]],['Negative'],"[[0.7030836939811707, 0.2948230504989624, 0.00209329673089087]]",[0.7031]
Maybe even up to a 3060 . disappointing as I meet the minimum requirements and also am at the recommended too ?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Maybe', 'even', 'up', 'to', 'a', '3060', '.', 'disappointing', 'as', 'I', 'meet', 'the', 'minimum', 'requirements', 'and', 'also', 'am', 'at', 'the', 'recommended', 'too', '?']",[],[],[],[],[]
I ' m waiting until March to order a 3060 so maybe then I ' ll try again .,"['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', ""'"", 'm', 'waiting', 'until', 'March', 'to', 'order', 'a', '3060', 'so', 'maybe', 'then', 'I', ""'"", 'll', 'try', 'again', '.']","['waiting', '3060']","[[3], [9]]","['Neutral', 'Neutral']","[[0.11870421469211578, 0.7920631766319275, 0.0892326682806015], [0.0199637021869421, 0.5750182867050171, 0.40501803159713745]]","[0.7921, 0.575]"
I did get a cringe feeling looking at my characters face .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']","['I', 'did', 'get', 'a', 'cringe', 'feeling', 'looking', 'at', 'my', 'characters', 'face', '.']",['characters'],[[9]],['Neutral'],"[[0.3544733226299286, 0.6405899524688721, 0.004936753306537867]]",[0.6406]
No matter what I try to do to fix it it just won ' t launch .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['No', 'matter', 'what', 'I', 'try', 'to', 'do', 'to', 'fix', 'it', 'it', 'just', 'won', ""'"", 't', 'launch', '.']",['launch'],[[15]],['Negative'],"[[0.9960722923278809, 0.0013432042906060815, 0.0025844736956059933]]",[0.9961]
I ' ve tried all the guides .,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['I', ""'"", 've', 'tried', 'all', 'the', 'guides', '.']",['guides'],[[6]],['Neutral'],"[[0.005819180514663458, 0.962584376335144, 0.03159652650356293]]",[0.9626]
They need to patch this asap .,"['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']","['They', 'need', 'to', 'patch', 'this', 'asap', '.']",['patch'],[[3]],['Negative'],"[[0.9951310157775879, 0.0031299542170017958, 0.0017390880966559052]]",[0.9951]
